Code,Company,Sector,Market Cap,Weight(%)
ABP,Abacus Property Group,Real Estate,"1,529,190,000",0.1
ABC,Adelaide Brighton Ltd,Materials,"1,349,070,000",0.09
APT,Afterpay Ltd,Information Technology,"5,001,250,000",0.34
AGL,AGL Energy Ltd,Utilities,"10,865,100,000",0.73
ALQ,Als Ltd,Industrials,"2,682,290,000",0.18
ALU,Altium Ltd,Information Technology,"3,744,310,000",0.25
AWC,Alumina Ltd,Materials,"4,204,570,000",0.28
AMC,Amcor Plc,Materials,"13,198,700,000",0.89
AMP,AMP Ltd,Financials,"4,587,860,000",0.31
ANN,Ansell Ltd,Health Care,"3,503,360,000",0.24
APE,AP Eagers Ltd,Consumer Discretionary,"778,507,000",0.05
APA,APA Group,Utilities,"12,105,700,000",0.82
APX,Appen Ltd,Information Technology,"2,395,270,000",0.16
ARB,ARB Corporation Ltd,Consumer Discretionary,"1,140,780,000",0.08
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"13,632,900,000",0.92
ASX,ASX Ltd,Financials,"14,924,300,000",1.01
ALX,Atlas Arteria,Industrials,"4,843,420,000",0.33
AZJ,Aurizon Holdings Ltd,Industrials,"8,158,870,000",0.55
AST,Ausnet Services Ltd,Utilities,"6,372,900,000",0.43
ASB,Austal Ltd,Industrials,"1,037,530,000",0.07
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"48,101,600,000",3.25
AVH,Avita Medical Ltd,Health Care,"1,087,520,000",0.07
BOQ,Bank of Queensland Ltd,Financials,"2,271,680,000",0.15
BAP,Bapcor Ltd,Consumer Discretionary,"1,168,680,000",0.08
BPT,Beach Energy Ltd,Energy,"2,622,930,000",0.18
BGA,Bega Cheese Ltd,Consumer Staples,"981,242,000",0.07
BEN,Bendigo and Adelaide Bank Ltd,Financials,"3,299,770,000",0.22
BHP,BHP Group Ltd,Materials,"85,370,800,000",5.76
BIN,Bingo Industries Ltd,Industrials,"1,242,240,000",0.08
BKL,Blackmores Ltd,Consumer Staples,"1,268,990,000",0.09
BSL,Bluescope Steel Ltd,Materials,"4,337,720,000",0.29
BLD,Boral Ltd,Materials,"2,403,280,000",0.16
BXB,Brambles Ltd,Industrials,"16,150,900,000",1.09
BVS,Bravura Solutions Ltd,Information Technology,"943,163,000",0.06
BRG,Breville Group Ltd,Consumer Discretionary,"2,200,850,000",0.15
BKW,Brickworks Ltd,Materials,"1,980,680,000",0.13
BWP,BWP Trust,Real Estate,"2,151,990,000",0.15
CTX,Caltex Australia Ltd,Energy,"5,573,460,000",0.38
CAR,Carsales.com Ltd,Communication Services,"2,881,900,000",0.19
CGF,Challenger Ltd,Financials,"2,449,200,000",0.17
CHC,Charter Hall Group,Real Estate,"3,195,230,000",0.22
CLW,Charter Hall Long Wale REIT,Real Estate,"2,142,020,000",0.14
CQR,Charter Hall Retail REIT,Real Estate,"1,449,450,000",0.1
CNU,Chorus Ltd,,"2,932,920,000",0.2
CIM,Cimic Group Ltd,Industrials,"7,526,650,000",0.51
CWY,Cleanaway Waste Management Ltd,Industrials,"3,477,150,000",0.23
CUV,Clinuvel Pharmaceuticals Ltd,Health Care,"944,232,000",0.06
CCL,Coca-Cola Amatil Ltd,Consumer Staples,"6,400,160,000",0.43
COH,Cochlear Ltd,Health Care,"12,018,500,000",0.81
COL,Coles Group Ltd,Consumer Staples,"20,222,400,000",1.37
CKF,Collins Foods Ltd,Consumer Discretionary,"631,870,000",0.04
CBA,Commonwealth Bank of Australia,Financials,"109,436,000,000",7.39
CPU,Computershare Ltd,Information Technology,"5,251,940,000",0.35
COE,Cooper Energy Ltd,Energy,"691,325,000",0.05
CTD,Corporate Travel Management Ltd,Consumer Discretionary,"950,488,000",0.06
CGC,Costa Group Holdings Ltd,Consumer Staples,"1,102,280,000",0.07
CCP,Credit Corp Group Ltd,Financials,"751,829,000",0.05
CMW,Cromwell Property Group,Real Estate,"2,090,300,000",0.14
CWN,Crown Resorts Ltd,Consumer Discretionary,"5,146,400,000",0.35
CSL,CSL Ltd,Health Care,"134,707,000,000",9.09
CSR,CSR Ltd,Materials,"1,538,660,000",0.1
DXS,Dexus,Real Estate,"9,966,290,000",0.67
DHG,Domain Holdings Australia Ltd,Communication Services,"1,180,210,000",0.08
DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,"4,406,780,000",0.3
DOW,Downer Edi Ltd,Industrials,"1,772,210,000",0.12
ELD,Elders Ltd,Consumer Staples,"1,170,660,000",0.08
EML,EML Payments Ltd,Information Technology,"748,463,000",0.05
EHE,Estia Health Ltd,Health Care,"349,860,000",0.02
EVN,Evolution Mining Ltd,Materials,"6,510,820,000",0.44
FPH,Fisher & Paykel Healthcare Corporation Ltd,Health Care,"16,570,300,000",1.12
FBU,Fletcher Building Ltd,Materials,"2,670,590,000",0.18
FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,"1,002,290,000",0.07
FMG,Fortescue Metals Group Ltd,Materials,"30,789,600,000",2.08
GUD,G.U.D. Holdings Ltd,Consumer Discretionary,"812,390,000",0.05
GEM,G8 Education Ltd,Consumer Discretionary,"384,248,000",0.03
GOR,Gold Road Resources Ltd,Materials,"1,209,610,000",0.08
GMG,Goodman Group,Real Estate,"22,123,800,000",1.49
GPT,GPT Group,Real Estate,"7,070,980,000",0.48
GNC,Graincorp Ltd,Consumer Staples,"707,164,000",0.05
GOZ,Growthpoint Properties Australia,Real Estate,"1,944,890,000",0.13
GWA,GWA Group Ltd,Industrials,"686,264,000",0.05
HVN,Harvey Norman Holdings Ltd,Consumer Discretionary,"3,675,720,000",0.25
HLS,Healius Ltd,Health Care,"1,289,080,000",0.09
HUB,HUB24 Ltd,Financials,"483,915,000",0.03
IEL,Idp Education Ltd,Consumer Discretionary,"2,941,380,000",0.2
IGO,IGO Ltd,Materials,"2,499,070,000",0.17
ILU,Iluka Resources Ltd,Materials,"2,949,640,000",0.2
IPL,Incitec Pivot Ltd,Materials,"3,259,150,000",0.22
INA,Ingenia Communities Group,Real Estate,"901,390,000",0.06
ING,Inghams Group Ltd,Consumer Staples,"1,222,830,000",0.08
IAG,Insurance Australia Group Ltd,Financials,"14,328,500,000",0.97
IVC,Invocare Ltd,Consumer Discretionary,"1,231,610,000",0.08
IFL,IOOF Holdings Ltd,Financials,"1,284,940,000",0.09
IPH,IPH Ltd,Industrials,"1,545,800,000",0.1
IRE,Iress Ltd,Information Technology,"1,833,120,000",0.12
JHX,James Hardie Industries Plc,Materials,"8,207,040,000",0.55
JHG,Janus Henderson Group Plc,Financials,"1,079,440,000",0.07
JBH,JB Hi-Fi Ltd,Consumer Discretionary,"3,216,730,000",0.22
JIN,Jumbo Interactive Ltd,Consumer Discretionary,"587,408,000",0.04
LLC,Lendlease Group,Real Estate,"5,817,370,000",0.39
A2M,The a2 Milk Company Ltd,Consumer Staples,"12,229,700,000",0.83
LNK,Link Administration Holdings Ltd,Information Technology,"1,712,960,000",0.12
LYC,Lynas Corporation Ltd,Materials,"1,007,710,000",0.07
MFG,Magellan Financial Group Ltd,Financials,"7,932,840,000",0.54
MGR,Mirvac Group,Real Estate,"8,221,940,000",0.55
MIN,Mineral Resources Ltd,Materials,"2,631,690,000",0.18
MMS,Mcmillan Shakespeare Ltd,Industrials,"550,180,000",0.04
MND,Monadelphous Group Ltd,Industrials,"970,380,000",0.07
MPL,Medibank Private Ltd,Financials,"7,325,650,000",0.49
MQG,Macquarie Group Ltd,Financials,"30,388,200,000",2.05
MTS,Metcash Ltd,Consumer Staples,"2,864,160,000",0.19
MYX,Mayne Pharma Group Ltd,Health Care,"520,511,000",0.04
NAB,National Australia Bank Ltd,Financials,"49,775,600,000",3.36
NAN,Nanosonics Ltd,Health Care,"1,683,040,000",0.11
NCM,Newcrest Mining Ltd,Materials,"17,721,800,000",1.2
NEA,Nearmap Ltd,Information Technology,"511,277,000",0.03
NEC,Nine Entertainment Co. Holdings Ltd,Communication Services,"1,952,680,000",0.13
NHC,New Hope Corporation Ltd,Energy,"1,156,070,000",0.08
NHF,Nib Holdings Ltd,Financials,"2,339,720,000",0.16
NSR,National Storage REIT,Real Estate,"1,251,150,000",0.08
NST,Northern Star Resources Ltd,Materials,"7,792,710,000",0.53
NUF,Nufarm Ltd,Materials,"1,936,440,000",0.13
NWH,NRW Holdings Ltd,Industrials,"535,490,000",0.04
NWL,Netwealth Group Ltd,Financials,"1,604,440,000",0.11
NWS,News Corporation,Communication Services,"757,139,000",0.05
NXT,NEXTDC Ltd,Information Technology,"3,073,220,000",0.21
OML,Ooh!Media Ltd,Communication Services,"155,127,000",0.01
ORA,Orora Ltd,Materials,"2,920,180,000",0.2
ORE,Orocobre Ltd,Materials,"547,533,000",0.04
ORG,Origin Energy Ltd,Energy,"7,714,100,000",0.52
ORI,Orica Ltd,Materials,"6,226,500,000",0.42
OSH,Oil Search Ltd,Energy,"3,628,900,000",0.24
OZL,OZ Minerals Ltd,Materials,"2,382,780,000",0.16
PDL,Pendal Group Ltd,Financials,"1,436,470,000",0.1
PLS,Pilbara Minerals Ltd,Materials,"378,030,000",0.03
PME,Pro Medicus Ltd,Health Care,"2,019,690,000",0.14
PMV,Premier Investments Ltd,Consumer Discretionary,"1,963,500,000",0.13
PNI,Pinnacle Investment Management Group Ltd,Financials,"524,584,000",0.04
PNV,Polynovo Ltd,Health Care,"1,061,050,000",0.07
PPT,Perpetual Ltd,Financials,"1,183,450,000",0.08
PRN,Perenti Global Ltd,Materials,"419,318,000",0.03
PTM,Platinum Asset Management Ltd,Financials,"1,953,640,000",0.13
QAN,Qantas Airways Ltd,Industrials,"4,815,260,000",0.33
QBE,QBE Insurance Group Ltd,Financials,"11,250,100,000",0.76
QUB,QUBE Holdings Ltd,Industrials,"3,495,550,000",0.24
REA,REA Group Ltd,Communication Services,"10,140,700,000",0.68
RHC,Ramsay Health Care Ltd,Health Care,"11,575,200,000",0.78
RIO,RIO Tinto Ltd,Materials,"31,393,800,000",2.12
RMD,Resmed Inc,Health Care,"9,625,990,000",0.65
RRL,Regis Resources Ltd,Materials,"1,849,780,000",0.12
RSG,Resolute Mining Ltd,Materials,"856,251,000",0.06
RWC,Reliance Worldwide Corporation Ltd,Industrials,"2,054,250,000",0.14
S32,SOUTH32 Ltd,Materials,"8,611,940,000",0.58
SAR,Saracen Mineral Holdings Ltd,Materials,"4,047,610,000",0.27
SBM,ST Barbara Ltd,Materials,"1,497,590,000",0.1
SCG,Scentre Group,Real Estate,"8,122,940,000",0.55
SCP,Shopping Centres Australasia Property Group,Real Estate,"2,138,580,000",0.14
SDF,Steadfast Group Ltd,Financials,"2,149,380,000",0.15
SEK,Seek Ltd,Industrials,"5,221,080,000",0.35
SFR,Sandfire Resources Ltd,Materials,"587,496,000",0.04
SGM,Sims Ltd,Materials,"1,230,280,000",0.08
SGP,Stockland,Real Estate,"6,032,410,000",0.41
SGR,The Star Entertainment Group Ltd,Consumer Discretionary,"1,972,240,000",0.13
SHL,Sonic Healthcare Ltd,Health Care,"11,558,100,000",0.78
SIQ,Smartgroup Corporation Ltd,Industrials,"645,700,000",0.04
SKC,Skycity Entertainment Group Ltd,Consumer Discretionary,"1,134,230,000",0.08
SKI,Spark Infrastructure Group,Utilities,"3,357,350,000",0.23
SLR,Silver Lake Resources Ltd,Materials,"1,214,180,000",0.08
SOL,Washington H Soul Pattinson & Company Ltd,Energy,"4,062,540,000",0.27
SPK,Spark New Zealand Ltd,,"7,348,180,000",0.5
SSM,Service Stream Ltd,Industrials,"741,619,000",0.05
STO,Santos Ltd,Energy,"7,124,090,000",0.48
SUL,Super Retail Group Ltd,Consumer Discretionary,"914,632,000",0.06
SUN,Suncorp Group Ltd,Financials,"11,512,500,000",0.78
SVW,Seven Group Holdings Ltd,Industrials,"3,814,380,000",0.26
SXL,Southern Cross Media Group Ltd,Communication Services,"126,887,000",0.01
SYD,Sydney Airport,Industrials,"12,632,400,000",0.85
TAH,Tabcorp Holdings Ltd,Consumer Discretionary,"5,141,750,000",0.35
TCL,Transurban Group,Industrials,"32,930,600,000",2.22
TGR,Tassal Group Ltd,Consumer Staples,"725,812,000",0.05
TLS,Telstra Corporation Ltd,,"36,512,400,000",2.46
TNE,Technology One Ltd,Information Technology,"2,549,370,000",0.17
TPM,TPG Telecom Ltd,,"6,392,620,000",0.43
TWE,Treasury Wine Estates Ltd,Consumer Staples,"7,221,050,000",0.49
UMG,United Malt Group Ltd,Consumer Staples,"1,118,850,000",0.08
URW,Unibail-Rodamco-Westfield,Real Estate,"1,317,400,000",0.09
VCX,Vicinity Centres,Real Estate,"3,848,990,000",0.26
VEA,Viva Energy Group Ltd,Energy,"2,469,560,000",0.17
VOC,Vocus Group Ltd,,"1,539,020,000",0.1
VUK,Virgin Money Uk Plc,Financials,"1,124,930,000",0.08
VVR,Viva Energy REIT,Real Estate,"1,795,970,000",0.12
WBC,Westpac Banking Corporation,Financials,"59,592,800,000",4.02
WEB,Webjet Ltd,Consumer Discretionary,"509,860,000",0.03
WES,Wesfarmers Ltd,Consumer Discretionary,"38,856,700,000",2.62
WHC,Whitehaven Coal Ltd,Energy,"1,975,140,000",0.13
WOR,Worley Ltd,Energy,"3,200,380,000",0.22
WOW,Woolworths Group Ltd,Consumer Staples,"44,268,800,000",2.99
WPL,Woodside Petroleum Ltd,Energy,"17,378,900,000",1.17
WSA,Western Areas Ltd,Materials,"532,435,000",0.04
WTC,Wisetech Global Ltd,Information Technology,"5,443,160,000",0.37
XRO,Xero Ltd,Information Technology,"9,626,940,000",0.65